"shard","parent_id","s3_prefix","neighborhood","city","region","country","country_code","destination","lat","lng","anchor_hint","why_fit"
"07","neighborhoods/eg-assiut/city-centre","images/Neighborhood_POIs/eg-assiut/city-centre/","City Centre","Assiut","","Egypt","EG","City Centre, Assiut, Egypt","27.18096","31.18368","Assiut city center","Central urban district (auto-added, pop >=100k)"
"08","neighborhoods/eg-aswan/city-center","images/Neighborhood_POIs/eg-aswan/city-center/","City Center","Aswān","","Egypt","EG","City Center, Aswān, Egypt","24.0996862","32.9019438","Aswan Souk","Central market district"
"09","neighborhoods/eg-aswan/corniche","images/Neighborhood_POIs/eg-aswan/corniche/","Corniche","Aswān","","Egypt","EG","Corniche, Aswān, Egypt","24.0937382","32.886956","Aswan Botanical Garden","Riverfront tourist promenade"
"10","neighborhoods/eg-banha/city-centre","images/Neighborhood_POIs/eg-banha/city-centre/","City Centre","Banhā","","Egypt","EG","City Centre, Banhā, Egypt","30.45977","31.1842","Banhā city center","Central urban district (auto-added, pop >=100k)"
"11","neighborhoods/eg-bani-mazar/city-centre","images/Neighborhood_POIs/eg-bani-mazar/city-centre/","City Centre","Banī Mazār","","Egypt","EG","City Centre, Banī Mazār, Egypt","28.49456","30.80526","Banī Mazār city center","Central urban district (auto-added, pop >=100k)"
"12","neighborhoods/eg-bani-suwayf/city-centre","images/Neighborhood_POIs/eg-bani-suwayf/city-centre/","City Centre","Banī Suwayf","","Egypt","EG","City Centre, Banī Suwayf, Egypt","29.0758811","31.0955565","Bani Sweif Clock Tower","Central urban district"
"13","neighborhoods/eg-bilbeis/city-centre","images/Neighborhood_POIs/eg-bilbeis/city-centre/","City Centre","Bilbeis","","Egypt","EG","City Centre, Bilbeis, Egypt","30.42039","31.56223","Bilbeis city center","Central urban district (auto-added, pop >=100k)"
"14","neighborhoods/eg-damanhur/centre","images/Neighborhood_POIs/eg-damanhur/centre/","Centre","Damanhur","","Egypt","EG","Centre, Damanhur, Egypt","45.4292043","7.7542521","Damanhur Clock Tower","central commercial district"
"15","neighborhoods/eg-damietta/downtown","images/Neighborhood_POIs/eg-damietta/downtown/","Downtown","Damietta","","Egypt","EG","Downtown, Damietta, Egypt","31.4214743","31.8086666","Damietta Corniche","Central commercial core"
"16","neighborhoods/eg-dayrut/city-centre","images/Neighborhood_POIs/eg-dayrut/city-centre/","City Centre","Dayrūţ","","Egypt","EG","City Centre, Dayrūţ, Egypt","27.55642","30.81057","Dayrūţ city center","Central urban district (auto-added, pop >=100k)"
"17","neighborhoods/eg-dikirnis/city-centre","images/Neighborhood_POIs/eg-dikirnis/city-centre/","City Centre","Dikirnis","","Egypt","EG","City Centre, Dikirnis, Egypt","31.08898","31.59478","Dikirnis city center","Central urban district (auto-added, pop >=100k)"
"18","neighborhoods/eg-disuq/city-centre","images/Neighborhood_POIs/eg-disuq/city-centre/","City Centre","Disūq","","Egypt","EG","City Centre, Disūq, Egypt","31.13259","30.64784","Disūq city center","Central urban district (auto-added, pop >=100k)"
"19","neighborhoods/eg-esna/city-centre","images/Neighborhood_POIs/eg-esna/city-centre/","City Centre","Esna","","Egypt","EG","City Centre, Esna, Egypt","25.29336","32.55402","Esna city center","Central urban district (auto-added, pop >=100k)"
"00","neighborhoods/eg-faqus/city-centre","images/Neighborhood_POIs/eg-faqus/city-centre/","City Centre","Fāqūs","","Egypt","EG","City Centre, Fāqūs, Egypt","30.72816","31.79697","Fāqūs city center","Central urban district (auto-added, pop >=100k)"
"01","neighborhoods/eg-giza/dokki","images/Neighborhood_POIs/eg-giza/dokki/","Dokki","Giza","","Egypt","EG","Dokki, Giza, Egypt","30.0381783","31.2111212","Dokki Square","Central affluent residential area"
"02","neighborhoods/eg-giza/mohandessin","images/Neighborhood_POIs/eg-giza/mohandessin/","Mohandessin","Giza","","Egypt","EG","Mohandessin, Giza, Egypt","30.0522566","31.1952291","Mohandessin Mall","Upscale commercial dining district"
"03","neighborhoods/eg-halwan/city-centre","images/Neighborhood_POIs/eg-halwan/city-centre/","City Centre","Ḩalwān","","Egypt","EG","City Centre, Ḩalwān, Egypt","29.84144","31.30084","Ḩalwān city center","Central urban district (auto-added, pop >=100k)"
"04","neighborhoods/eg-hurghada/city-centre","images/Neighborhood_POIs/eg-hurghada/city-centre/","City Centre","Hurghada","","Egypt","EG","City Centre, Hurghada, Egypt","27.25738","33.81291","Hurghada city center","Central urban district (auto-added, pop >=100k)"
"05","neighborhoods/eg-idku/city-centre","images/Neighborhood_POIs/eg-idku/city-centre/","City Centre","Idkū","","Egypt","EG","City Centre, Idkū, Egypt","31.3073","30.2981","Idkū city center","Central urban district (auto-added, pop >=100k)"
"06","neighborhoods/eg-ismailia/city-center","images/Neighborhood_POIs/eg-ismailia/city-center/","City Center","Ismailia","","Egypt","EG","City Center, Ismailia, Egypt","30.5906846","32.2999968","Ismailia Canal Corniche","planned leafy canal-side center"
"07","neighborhoods/eg-kafr-ash-shaykh/city-centre","images/Neighborhood_POIs/eg-kafr-ash-shaykh/city-centre/","City Centre","Kafr ash Shaykh","","Egypt","EG","City Centre, Kafr ash Shaykh, Egypt","31.11174","30.93991","Kafr ash Shaykh city center","Central urban district (auto-added, pop >=100k)"
"08","neighborhoods/eg-kom-ombo/city-centre","images/Neighborhood_POIs/eg-kom-ombo/city-centre/","City Centre","Kom Ombo","","Egypt","EG","City Centre, Kom Ombo, Egypt","24.47669","32.94626","Kom Ombo city center","Central urban district (auto-added, pop >=100k)"
"09","neighborhoods/eg-luxor/east-bank-corniche","images/Neighborhood_POIs/eg-luxor/east-bank-corniche/","East Bank Corniche","Luxor","","Egypt","EG","East Bank Corniche, Luxor, Egypt","25.699502","32.6390509","Luxor Temple","Tourist riverside hotel district"
"10","neighborhoods/eg-madinat-an-nasr/nasr-city","images/Neighborhood_POIs/eg-madinat-an-nasr/nasr-city/","Nasr City","Madīnat an Naşr","","Egypt","EG","Nasr City, Madīnat an Naşr, Egypt","30.0589267","31.3101936","Nasr City Stadium","modern residential and commercial district"
"11","neighborhoods/eg-maghaghah/city-centre","images/Neighborhood_POIs/eg-maghaghah/city-centre/","City Centre","Maghāghah","","Egypt","EG","City Centre, Maghāghah, Egypt","28.64776","30.841","Maghāghah city center","Central urban district (auto-added, pop >=100k)"
"12","neighborhoods/eg-mallawi/city-centre","images/Neighborhood_POIs/eg-mallawi/city-centre/","City Centre","Mallawī","","Egypt","EG","City Centre, Mallawī, Egypt","27.73264","30.84129","Mallawī city center","Central urban district (auto-added, pop >=100k)"
"13","neighborhoods/eg-manfalut/city-centre","images/Neighborhood_POIs/eg-manfalut/city-centre/","City Centre","Manfalūţ","","Egypt","EG","City Centre, Manfalūţ, Egypt","27.3126","30.96987","Manfalūţ city center","Central urban district (auto-added, pop >=100k)"
"14","neighborhoods/eg-marsa-matruh/city-centre","images/Neighborhood_POIs/eg-marsa-matruh/city-centre/","City Centre","Marsá Maţrūḩ","","Egypt","EG","City Centre, Marsá Maţrūḩ, Egypt","31.3529","27.23725","Marsá Maţrūḩ city center","Central urban district (auto-added, pop >=100k)"
"15","neighborhoods/eg-minya/corniche","images/Neighborhood_POIs/eg-minya/corniche/","Corniche","Minya","","Egypt","EG","Corniche, Minya, Egypt","28.1027568","30.7568026","Minya Corniche Park","riverside central promenade area"
"16","neighborhoods/eg-mit-ghamr/city-centre","images/Neighborhood_POIs/eg-mit-ghamr/city-centre/","City Centre","Mīt Ghamr","","Egypt","EG","City Centre, Mīt Ghamr, Egypt","30.71524","31.2592","Mīt Ghamr city center","Central urban district (auto-added, pop >=100k)"
"17","neighborhoods/eg-new-cairo/fifth-settlement","images/Neighborhood_POIs/eg-new-cairo/fifth-settlement/","Fifth Settlement","New Cairo","","Egypt","EG","Fifth Settlement, New Cairo, Egypt","30.0185154","31.4132109","Downtown Katameya Mall","affluent modern commercial district"
"18","neighborhoods/eg-port-said/downtown-port-said","images/Neighborhood_POIs/eg-port-said/downtown-port-said/","Downtown Port Said","Port Said","","Egypt","EG","Downtown Port Said, Port Said, Egypt","31.2642629","32.3133636","Port Said Lighthouse","Historic central commercial core"
"19","neighborhoods/eg-qina/city-center","images/Neighborhood_POIs/eg-qina/city-center/","City Center","Qina","","Egypt","EG","City Center, Qina, Egypt","26.1580274","32.7158486","Qena Clock Tower","central commercial district"
"00","neighborhoods/eg-rosetta/city-centre","images/Neighborhood_POIs/eg-rosetta/city-centre/","City Centre","Rosetta","","Egypt","EG","City Centre, Rosetta, Egypt","31.39951","30.41718","Rosetta city center","Central urban district (auto-added, pop >=100k)"
"01","neighborhoods/eg-samalut/city-centre","images/Neighborhood_POIs/eg-samalut/city-centre/","City Centre","Samālūţ","","Egypt","EG","City Centre, Samālūţ, Egypt","28.31214","30.71007","Samālūţ city center","Central urban district (auto-added, pop >=100k)"
"02","neighborhoods/eg-shibin-al-kawm/city-center","images/Neighborhood_POIs/eg-shibin-al-kawm/city-center/","City Center","Shibīn al Kawm","","Egypt","EG","City Center, Shibīn al Kawm, Egypt","30.5707812","31.0071271","Shibin al Kawm Central Market","central commercial district"
"03","neighborhoods/eg-sinnuris/city-centre","images/Neighborhood_POIs/eg-sinnuris/city-centre/","City Centre","Sinnūris","","Egypt","EG","City Centre, Sinnūris, Egypt","29.41345","30.86579","Sinnūris city center","Central urban district (auto-added, pop >=100k)"
"04","neighborhoods/eg-sohag/city-center","images/Neighborhood_POIs/eg-sohag/city-center/","City Center","Sohag","","Egypt","EG","City Center, Sohag, Egypt","26.4767699","31.8061019","Sohag Grand Mosque","central commercial area"
"05","neighborhoods/eg-suez/city-center","images/Neighborhood_POIs/eg-suez/city-center/","City Center","Suez","","Egypt","EG","City Center, Suez, Egypt","29.9565749","32.5440175","Suez Corniche","Central commercial waterfront district"
"06","neighborhoods/eg-tahta/city-centre","images/Neighborhood_POIs/eg-tahta/city-centre/","City Centre","Ţahţā","","Egypt","EG","City Centre, Ţahţā, Egypt","26.76866","31.50198","Ţahţā city center","Central urban district (auto-added, pop >=100k)"
"07","neighborhoods/eg-tanta/city-center","images/Neighborhood_POIs/eg-tanta/city-center/","city center","Tanta","","Egypt","EG","city center, Tanta, Egypt","30.8421648","31.0176392","Tanta Grand Mosque","central commercial area"
"08","neighborhoods/eg-tima/city-centre","images/Neighborhood_POIs/eg-tima/city-centre/","City Centre","Ţimā","","Egypt","EG","City Centre, Ţimā, Egypt","26.90843","31.43469","Ţimā city center","Central urban district (auto-added, pop >=100k)"
"09","neighborhoods/eg-zagazig/city-center","images/Neighborhood_POIs/eg-zagazig/city-center/","City Center","Zagazig","","Egypt","EG","City Center, Zagazig, Egypt","30.5882724","31.4831525","Zagazig University","central commercial district"
"10","neighborhoods/eg-zefta/city-centre","images/Neighborhood_POIs/eg-zefta/city-centre/","City Centre","Zefta","","Egypt","EG","City Centre, Zefta, Egypt","30.7142","31.24425","Zefta city center","Central urban district (auto-added, pop >=100k)"
"11","neighborhoods/eh-dakhla/city-centre","images/Neighborhood_POIs/eh-dakhla/city-centre/","City Centre","Dakhla","","Western Sahara","EH","City Centre, Dakhla, Western Sahara","23.68477","-15.95798","Dakhla city center","Central urban district (auto-added, pop >=100k)"
"12","neighborhoods/eh-laayoune/city-centre","images/Neighborhood_POIs/eh-laayoune/city-centre/","City Centre","Laayoune","","Western Sahara","EH","City Centre, Laayoune, Western Sahara","27.1418","-13.18797","Laayoune city center","Central urban district (auto-added, pop >=100k)"
"13","neighborhoods/er-asmara/city-center-harnet-avenue","images/Neighborhood_POIs/er-asmara/city-center-harnet-avenue/","City Center (Harnet Avenue)","Asmara","","Eritrea","ER","City Center (Harnet Avenue), Asmara, Eritrea","15.3361476","38.9353272","Asmara Opera House","modernist walkable cafe boulevard"
"14","neighborhoods/es-a-coruna/ciudad-vieja","images/Neighborhood_POIs/es-a-coruna/ciudad-vieja/","Ciudad Vieja","A Coruña","","Spain","ES","Ciudad Vieja, A Coruña, Spain","43.3717364","-8.3973343","Iglesia de San Jorge","historic old town"
"15","neighborhoods/es-a-coruna/ensanche","images/Neighborhood_POIs/es-a-coruna/ensanche/","Ensanche","A Coruña","","Spain","ES","Ensanche, A Coruña, Spain","43.3662496","-8.4063407","Plaza de Lugo","upscale dining and shopping"
"16","neighborhoods/es-a-coruna/pescaderia","images/Neighborhood_POIs/es-a-coruna/pescaderia/","Pescadería","A Coruña","","Spain","ES","Pescadería, A Coruña, Spain","43.3613439","-8.4044858","Mercado de la Pescadería","central commercial waterfront"
"17","neighborhoods/es-a-coruna/riazor","images/Neighborhood_POIs/es-a-coruna/riazor/","Riazor","A Coruña","","Spain","ES","Riazor, A Coruña, Spain","43.3687379","-8.4113977","Playa de Riazor","beachfront upscale residential"
"18","neighborhoods/es-albacete/city-centre","images/Neighborhood_POIs/es-albacete/city-centre/","City Centre","Albacete","","Spain","ES","City Centre, Albacete, Spain","38.99424","-1.85643","Albacete city center","Central urban district (auto-added, pop >=100k)"
"19","neighborhoods/es-alcala-de-henares/casco-historico","images/Neighborhood_POIs/es-alcala-de-henares/casco-historico/","Casco Histórico","Alcalá de Henares","","Spain","ES","Casco Histórico, Alcalá de Henares, Spain","40.48205","-3.35996","Alcalá de Henares city center","UNESCO university town of Cervantes"
"00","neighborhoods/es-algeciras/city-centre","images/Neighborhood_POIs/es-algeciras/city-centre/","City Centre","Algeciras","","Spain","ES","City Centre, Algeciras, Spain","36.13326","-5.45051","Algeciras city center","Central urban district (auto-added, pop >=100k)"
"01","neighborhoods/es-alicante/casco-antiguo","images/Neighborhood_POIs/es-alicante/casco-antiguo/","Casco Antiguo","Alicante","","Spain","ES","Casco Antiguo, Alicante, Spain","38.3454595","-0.4825726","Concatedral de San Nicolás","historic walkable old town"
"02","neighborhoods/es-alicante/centro","images/Neighborhood_POIs/es-alicante/centro/","Centro","Alicante","","Spain","ES","Centro, Alicante, Spain","38.3449517","-0.4808028","Plaza del Ayuntamiento","central commercial dining district"
"03","neighborhoods/es-almeria/centro-historico","images/Neighborhood_POIs/es-almeria/centro-historico/","Centro Histórico","Almería","","Spain","ES","Centro Histórico, Almería, Spain","36.83814","-2.45974","Almería city center","Casbah-side old town and tapas streets"
"04","neighborhoods/es-badajoz/city-centre","images/Neighborhood_POIs/es-badajoz/city-centre/","City Centre","Badajoz","","Spain","ES","City Centre, Badajoz, Spain","38.87789","-6.97061","Badajoz city center","Central urban district (auto-added, pop >=100k)"
"05","neighborhoods/es-burgos/centro-historico","images/Neighborhood_POIs/es-burgos/centro-historico/","Centro Histórico","Burgos","","Spain","ES","Centro Histórico, Burgos, Spain","42.34106","-3.70184","Burgos city center","Gothic cathedral old town"
"06","neighborhoods/es-cadiz/casco-antiguo","images/Neighborhood_POIs/es-cadiz/casco-antiguo/","Casco Antiguo","Cádiz","","Spain","ES","Casco Antiguo, Cádiz, Spain","36.52672","-6.2891","Cádiz city center","Peninsular old town of plazas and sea walls"
"07","neighborhoods/es-cadiz/la-vina","images/Neighborhood_POIs/es-cadiz/la-vina/","La Viña","Cádiz","","Spain","ES","La Viña, Cádiz, Spain","36.5297432","-6.3031258","La Viña","Fishing quarter famous for tapas and carnival"
"08","neighborhoods/es-carabanchel/carabanchel-alto","images/Neighborhood_POIs/es-carabanchel/carabanchel-alto/","Carabanchel Alto","Carabanchel","","Spain","ES","Carabanchel Alto, Carabanchel, Spain","40.3754568","-3.7570912","Parque de las Cruces","residential dining and transit"
"09","neighborhoods/es-carabanchel/carabanchel-bajo","images/Neighborhood_POIs/es-carabanchel/carabanchel-bajo/","Carabanchel Bajo","Carabanchel","","Spain","ES","Carabanchel Bajo, Carabanchel, Spain","40.3778428","-3.7234144","Parque Emperatriz María de Austria","dense walkable urban district"
"10","neighborhoods/es-cartagena/casco-antiguo","images/Neighborhood_POIs/es-cartagena/casco-antiguo/","Casco Antiguo","Cartagena","","Spain","ES","Casco Antiguo, Cartagena, Spain","37.6021521","-0.9838208","Casco Antiguo","Roman theatre and harbour old town"
"11","neighborhoods/es-castello-de-la-plana/city-centre","images/Neighborhood_POIs/es-castello-de-la-plana/city-centre/","City Centre","Castelló de la Plana","","Spain","ES","City Centre, Castelló de la Plana, Spain","39.98567","-0.04935","Castelló de la Plana city center","Central urban district (auto-added, pop >=100k)"
"12","neighborhoods/es-cordoba/juderia","images/Neighborhood_POIs/es-cordoba/juderia/","Judería","Córdoba","","Spain","ES","Judería, Córdoba, Spain","37.8810237","-4.774787","Plaza del Potro","historic walkable tourist quarter"
"13","neighborhoods/es-elche/city-centre","images/Neighborhood_POIs/es-elche/city-centre/","City Centre","Elche","","Spain","ES","City Centre, Elche, Spain","38.26218","-0.70107","Elche city center","Central urban district (auto-added, pop >=100k)"
"14","neighborhoods/es-gijon/centro","images/Neighborhood_POIs/es-gijon/centro/","Centro","Gijón","","Spain","ES","Centro, Gijón, Spain","43.5449164","-5.6623074","Plaza Mayor de Gijón","Central shopping dining district"
"15","neighborhoods/es-gijon/el-bibio","images/Neighborhood_POIs/es-gijon/el-bibio/","El Bibio","Gijón","","Spain","ES","El Bibio, Gijón, Spain","43.5369271","-5.6399657","Parque de Isabel la Católica","Upscale beachfront residential area"
"16","neighborhoods/es-huelva/city-centre","images/Neighborhood_POIs/es-huelva/city-centre/","City Centre","Huelva","","Spain","ES","City Centre, Huelva, Spain","37.26638","-6.94004","Huelva city center","Central urban district (auto-added, pop >=100k)"
"17","neighborhoods/es-jaen/city-centre","images/Neighborhood_POIs/es-jaen/city-centre/","City Centre","Jaén","","Spain","ES","City Centre, Jaén, Spain","37.76922","-3.79028","Jaén city center","Central urban district (auto-added, pop >=100k)"
"18","neighborhoods/es-jerez-de-la-frontera/centro-historico","images/Neighborhood_POIs/es-jerez-de-la-frontera/centro-historico/","Centro Histórico","Jerez de la Frontera","","Spain","ES","Centro Histórico, Jerez de la Frontera, Spain","36.68645","-6.13606","Jerez de la Frontera city center","Sherry bodegas and flamenco old town"
"19","neighborhoods/es-l-hospitalet-de-llobregat/centre","images/Neighborhood_POIs/es-l-hospitalet-de-llobregat/centre/","Centre","L'Hospitalet de Llobregat","","Spain","ES","Centre, L'Hospitalet de Llobregat, Spain","41.3753597","2.1172535","Parc de la Marquesa","central transit-connected core"
"00","neighborhoods/es-las-palmas-de-gran-canaria/las-canteras","images/Neighborhood_POIs/es-las-palmas-de-gran-canaria/las-canteras/","Las Canteras","Las Palmas de Gran Canaria","","Spain","ES","Las Canteras, Las Palmas de Gran Canaria, Spain","28.1428538","-15.4337165","Playa de Las Canteras","Beachfront tourist promenade"
"01","neighborhoods/es-las-palmas-de-gran-canaria/mesa-y-lopez","images/Neighborhood_POIs/es-las-palmas-de-gran-canaria/mesa-y-lopez/","Mesa y López","Las Palmas de Gran Canaria","","Spain","ES","Mesa y López, Las Palmas de Gran Canaria, Spain","28.1317588","-15.4383105","Calle Mesa y López","Central commercial business district"
"02","neighborhoods/es-latina/latina","images/Neighborhood_POIs/es-latina/latina/","Latina","Latina","","Spain","ES","Latina, Latina, Spain","40.4749605","-3.6600863","Plaza de la Latina","central dense walkable district"
"03","neighborhoods/es-leon/barrio-humedo","images/Neighborhood_POIs/es-leon/barrio-humedo/","Barrio Húmedo","León","","Spain","ES","Barrio Húmedo, León, Spain","42.5958119","-5.5678741","Hotel Alda Barrio Húmedo","Old quarter famous for free tapas"
"04","neighborhoods/es-lleida/city-centre","images/Neighborhood_POIs/es-lleida/city-centre/","City Centre","Lleida","","Spain","ES","City Centre, Lleida, Spain","41.61674","0.62218","Lleida city center","Central urban district (auto-added, pop >=100k)"
"05","neighborhoods/es-logrono/casco-antiguo","images/Neighborhood_POIs/es-logrono/casco-antiguo/","Casco Antiguo","Logroño","","Spain","ES","Casco Antiguo, Logroño, Spain","42.4666872","-2.4460265","Casco Antiguo","Calle Laurel pintxos old town"
"06","neighborhoods/es-malaga/centro-historico","images/Neighborhood_POIs/es-malaga/centro-historico/","Centro Historico","Málaga","","Spain","ES","Centro Historico, Málaga, Spain","36.7201678","-4.4193106","Catedral de Málaga","historic walkable core"
"07","neighborhoods/es-malaga/el-limonar","images/Neighborhood_POIs/es-malaga/el-limonar/","El Limonar","Málaga","","Spain","ES","El Limonar, Málaga, Spain","36.7372","-4.3943757","Parque del Limonar","upscale residential area"
"08","neighborhoods/es-mataro/city-centre","images/Neighborhood_POIs/es-mataro/city-centre/","City Centre","Mataró","","Spain","ES","City Centre, Mataró, Spain","41.54211","2.4445","Mataró city center","Central urban district (auto-added, pop >=100k)"
"09","neighborhoods/es-murcia/centro","images/Neighborhood_POIs/es-murcia/centro/","Centro","Murcia","","Spain","ES","Centro, Murcia, Spain","37.9801523","-1.1316655","Plaza de las Flores","Central historic commercial district"
"10","neighborhoods/es-murcia/el-carmen","images/Neighborhood_POIs/es-murcia/el-carmen/","El Carmen","Murcia","","Spain","ES","El Carmen, Murcia, Spain","37.9871864","-1.1291873","Plaza de Santo Domingo","Trendy central dining neighborhood"
"11","neighborhoods/es-murcia/santa-eulalia","images/Neighborhood_POIs/es-murcia/santa-eulalia/","Santa Eulalia","Murcia","","Spain","ES","Santa Eulalia, Murcia, Spain","37.8007461","-1.5575323","Plaza de la Cruz","Historic walkable central district"
"12","neighborhoods/es-murcia/vistabella","images/Neighborhood_POIs/es-murcia/vistabella/","Vistabella","Murcia","","Spain","ES","Vistabella, Murcia, Spain","37.9829174","-1.1156635","Parque de Vistabella","Upscale residential district"
"13","neighborhoods/es-orihuela/city-centre","images/Neighborhood_POIs/es-orihuela/city-centre/","City Centre","Orihuela","","Spain","ES","City Centre, Orihuela, Spain","38.08483","-0.94401","Orihuela city center","Central urban district (auto-added, pop >=100k)"
"14","neighborhoods/es-ourense/casco-vello","images/Neighborhood_POIs/es-ourense/casco-vello/","Casco Vello","Ourense","","Spain","ES","Casco Vello, Ourense, Spain","42.335768","-7.8638872","Casco Vello","Old town with Roman thermal springs"
"15","neighborhoods/es-oviedo/casco-antiguo","images/Neighborhood_POIs/es-oviedo/casco-antiguo/","Casco Antiguo","Oviedo","","Spain","ES","Casco Antiguo, Oviedo, Spain","43.36029","-5.84476","Oviedo city center","Cathedral old town with cider alleys"
"16","neighborhoods/es-palma/casco-antiguo","images/Neighborhood_POIs/es-palma/casco-antiguo/","Casco Antiguo","Palma","","Spain","ES","Casco Antiguo, Palma, Spain","39.5674251","2.6482994","Catedral de Mallorca","Historic walkable old town"
"17","neighborhoods/es-palma/la-lonja","images/Neighborhood_POIs/es-palma/la-lonja/","La Lonja","Palma","","Spain","ES","La Lonja, Palma, Spain","39.5737478","2.6534932","Mercat de l'Olivar","Central dining nightlife district"
"18","neighborhoods/es-palma/portixol","images/Neighborhood_POIs/es-palma/portixol/","Portixol","Palma","","Spain","ES","Portixol, Palma, Spain","39.5608724","2.6710296","Portixol Marina","Upscale seafront dining area"
"19","neighborhoods/es-pamplona/casco-viejo","images/Neighborhood_POIs/es-pamplona/casco-viejo/","Casco Viejo","Pamplona","","Spain","ES","Casco Viejo, Pamplona, Spain","42.8182584","-1.6440023","Casco Antiguo","Old town of plazas and running-of-the-bulls lore"
"00","neighborhoods/es-reus/centre-de-reus","images/Neighborhood_POIs/es-reus/centre-de-reus/","Centre de Reus","Reus","","Spain","ES","Centre de Reus, Reus, Spain","41.1542749","1.1090943","Centre de Lectura","Modernist core, birthplace of Gaudí"
"01","neighborhoods/es-salamanca/casco-historico","images/Neighborhood_POIs/es-salamanca/casco-historico/","Casco Histórico","Salamanca","","Spain","ES","Casco Histórico, Salamanca, Spain","40.96882","-5.66388","Salamanca city center","Golden sandstone UNESCO university core"
"02","neighborhoods/es-san-cristobal-de-la-laguna/casco-historico","images/Neighborhood_POIs/es-san-cristobal-de-la-laguna/casco-historico/","Casco Histórico","San Cristóbal de La Laguna","","Spain","ES","Casco Histórico, San Cristóbal de La Laguna, Spain","28.4853","-16.32014","San Cristóbal de La Laguna city center","UNESCO colonial grid of pastel mansions"
"03","neighborhoods/es-san-sebastian/parte-vieja","images/Neighborhood_POIs/es-san-sebastian/parte-vieja/","Parte Vieja","San Sebastián","","Spain","ES","Parte Vieja, San Sebastián, Spain","43.3232446","-1.985193","Parte Zaharra","Old town with the world's best pintxo bars"
"04","neighborhoods/es-santa-cruz-de-tenerife/centro","images/Neighborhood_POIs/es-santa-cruz-de-tenerife/centro/","Centro","Santa Cruz de Tenerife","","Spain","ES","Centro, Santa Cruz de Tenerife, Spain","28.46824","-16.25462","Santa Cruz de Tenerife city center","Harbour city core with ramblas and markets"
"05","neighborhoods/es-santander/centro","images/Neighborhood_POIs/es-santander/centro/","Centro","Santander","","Spain","ES","Centro, Santander, Spain","43.461702","-3.8091998","Centro","Elegant bay-front centre and market halls"
"06","neighborhoods/es-tarragona/part-alta","images/Neighborhood_POIs/es-tarragona/part-alta/","Part Alta","Tarragona","","Spain","ES","Part Alta, Tarragona, Spain","41.1185491","1.2578167","Part Alta","Roman walled old town with amphitheatre views"
"07","neighborhoods/es-tarragona/rambla-nova","images/Neighborhood_POIs/es-tarragona/rambla-nova/","Rambla Nova","Tarragona","","Spain","ES","Rambla Nova, Tarragona, Spain","41.115455","1.252881","Rambla Nova","Central boulevard to the Mediterranean balcony"
"08","neighborhoods/es-terrassa/city-centre","images/Neighborhood_POIs/es-terrassa/city-centre/","City Centre","Terrassa","","Spain","ES","City Centre, Terrassa, Spain","41.56667","2.01667","Terrassa city center","Central urban district (auto-added, pop >=100k)"
"09","neighborhoods/es-valladolid/centro-historico","images/Neighborhood_POIs/es-valladolid/centro-historico/","Centro Histórico","Valladolid","","Spain","ES","Centro Histórico, Valladolid, Spain","41.6520517","-4.7286615","Plaza Mayor de Valladolid","Historic core, dining, walkable"
"10","neighborhoods/es-zaragoza/casco-historico","images/Neighborhood_POIs/es-zaragoza/casco-historico/","Casco Histórico","Zaragoza","","Spain","ES","Casco Histórico, Zaragoza, Spain","41.6568982","-0.8785056","Basilica of Our Lady of the Pillar","historic walkable center"
"11","neighborhoods/es-zaragoza/el-tubo","images/Neighborhood_POIs/es-zaragoza/el-tubo/","El Tubo","Zaragoza","","Spain","ES","El Tubo, Zaragoza, Spain","41.653053","-0.87955","El Tubo Tapas Street","central tapas and nightlife district"
"12","neighborhoods/es-zaragoza/universidad","images/Neighborhood_POIs/es-zaragoza/universidad/","Universidad","Zaragoza","","Spain","ES","Universidad, Zaragoza, Spain","41.6420639","-0.9015065","University of Zaragoza","lively student cafe district"
"13","neighborhoods/et-addis-ababa/kazanchis","images/Neighborhood_POIs/et-addis-ababa/kazanchis/","Kazanchis","Addis Ababa","","Ethiopia","ET","Kazanchis, Addis Ababa, Ethiopia","9.019192","38.7694587","Kazanchis Commercial Center","Central business and hotel district"
"14","neighborhoods/et-addis-ababa/old-airport","images/Neighborhood_POIs/et-addis-ababa/old-airport/","Old Airport","Addis Ababa","","Ethiopia","ET","Old Airport, Addis Ababa, Ethiopia","8.9864861","38.7310441","Old Airport Roundabout","Affluent expat residential area"
"15","neighborhoods/et-adigrat/city-centre","images/Neighborhood_POIs/et-adigrat/city-centre/","City Centre","Ādīgrat","","Ethiopia","ET","City Centre, Ādīgrat, Ethiopia","14.277","39.462","Ādīgrat city center","Central urban district (auto-added, pop >=100k)"
"16","neighborhoods/et-arabi/city-centre","images/Neighborhood_POIs/et-arabi/city-centre/","City Centre","Ārabī","","Ethiopia","ET","City Centre, Ārabī, Ethiopia","9.96278","42.49278","Ārabī city center","Central urban district (auto-added, pop >=100k)"
"17","neighborhoods/et-arba-minch/city-centre","images/Neighborhood_POIs/et-arba-minch/city-centre/","City Centre","Arba Minch","","Ethiopia","ET","City Centre, Arba Minch, Ethiopia","6.03333","37.55","Arba Minch city center","Central urban district (auto-added, pop >=100k)"
