"city","country","country_code","neighborhood","why_fit","confidence","lat","lng","anchor_spot","places_query","geocode_status","location_id","display_slug","internal_location_type","image_name_id","image_name_slug","matched_via","geo_distance_km","match_status"
"Wuhu","China","CN","Jinghu District","Central urban core","low","31.330323","118.372934","Jinghu Park","Jinghu Park, Jinghu District, Wuhu, China","ok","553248635976002839","china/anhui/wuhu/jinghu-district","neighborhood","553248635976002839.jpg","china/anhui/wuhu/jinghu-district.jpg","city-slug:china/anhui/wuhu/jinghu-district","2.4","resolved"
"Dazhou","China","CN","Tongchuan District","Central urban core","low","31.21975","107.51184","Tongchuan Park","Tongchuan Park, Tongchuan District, Dazhou, China","ok","","","","","","","","unresolved"
"Yangzhou","China","CN","Guangling District","Historic central core","low","32.3989711","119.4435051","Ge Garden","Ge Garden, Guangling District, Yangzhou, China","ok","3000749529","china/jiangsu/yangzhou/guangling-qu","neighborhood","3000749529.jpg","china/jiangsu/yangzhou/guangling-qu.jpg","sheet:china/jiangsu/yangzhou/guangling-qu","1.1","resolved"
"Guilin","China","CN","Xiufeng District","Central tourist core","low","25.266947","110.293263","Elephant Trunk Hill","Elephant Trunk Hill, Xiufeng District, Guilin, China","ok","553248635939577078","china/guangxi/xiufeng","neighborhood","553248635939577078.jpg","china/guangxi/xiufeng.jpg","seed:china/guangxi/xiufeng","3.5","resolved"
"Zhaoqing","China","CN","Duanzhou District","Central urban core","low","23.047642","112.456375","Zhaoqing Ancient City Wall","Zhaoqing Ancient City Wall, Duanzhou District, Zhaoqing, China","ok","3000749386","china/guangdong/zhaoqing/duanzhou-qu","neighborhood","3000749386.jpg","china/guangdong/zhaoqing/duanzhou-qu.jpg","sheet:china/guangdong/zhaoqing/duanzhou-qu","4.5","resolved"
"Mianyang","China","CN","Fucheng District","Central urban core","low","30.657132","104.057246","Fucheng People's Park","Fucheng People's Park, Fucheng District, Mianyang, China","ok","553248635976003528","china/sichuan/mianyang/fucheng-district","neighborhood","553248635976003528.jpg","china/sichuan/mianyang/fucheng-district.jpg","city-slug:china/sichuan/mianyang/fucheng-district","103.7","resolved"
"Wanzhou","China","CN","Central District","Central core","low","34.762575","113.661101","Wanzhou People's Park","Wanzhou People's Park, Central District, Wanzhou, China","ok","","","","","","","","unresolved"
"Putian","China","CN","Chengxiang District","Central urban core and CBD","medium","25.4192517","118.9939417","Putian City Government Building","Putian City Government Building, Chengxiang District, Putian, China","ok","553248633981730061","china/putian/chengxiang","neighborhood","553248633981730061.jpg","china/putian/chengxiang.jpg","seed:china/putian/chengxiang","6.9","resolved"
"Shangqiu","China","CN","Liangyuan District","Central urban commercial core","medium","31.22967","121.476161","Shangqiu People's Square","Shangqiu People's Square, Liangyuan District, Shangqiu, China","ok","","","","","","","","unresolved"
"Yinchuan","China","CN","Xingqing District","Central urban commercial core","medium","38.4552381","106.2809372","Nanguan Mosque","Nanguan Mosque, Xingqing District, Yinchuan, China","ok","3000749674","china/ningxia/xingqing-qu","neighborhood","3000749674.jpg","china/ningxia/xingqing-qu.jpg","seed:china/ningxia/xingqing-qu","3.4","resolved"
"Taizhou","China","CN","Hailing District","Central urban core","low","32.4585273","119.9246589","Taizhou People's Park","Taizhou People's Park, Hailing District, Taizhou, China","ok","553248635976002649","china/jiangsu/taizhou/hailing-district","neighborhood","553248635976002649.jpg","china/jiangsu/taizhou/hailing-district.jpg","seed:china/jiangsu/taizhou/hailing-district","3.7","resolved"
"Taizhou","China","CN","Jiaojiang District","Central urban commercial core","low","28.6730699","121.44297","Jiaojiang District Government","Jiaojiang District Government, Jiaojiang District, Taizhou, China","ok","6069947","china/zhejiang/jiaojiang","neighborhood","6069947.jpg","china/zhejiang/jiaojiang.jpg","seed:china/zhejiang/jiaojiang","23.4","resolved"
"Yiwu","China","CN","Yiwu City Center","Central commercial trading core","low","29.341361","120.108804","Yiwu International Trade City","Yiwu International Trade City, Yiwu City Center, Yiwu, China","ok","","","","","","","","unresolved"
"Quanzhou","China","CN","Licheng District","Historic central commercial core","medium","24.914112","118.585359","Kaiyuan Temple","Kaiyuan Temple, Licheng District, Quanzhou, China","ok","553248633981717331","china/fujian/licheng-district","neighborhood","553248633981717331.jpg","china/fujian/licheng-district.jpg","seed:china/fujian/licheng-district","3.6","resolved"
"Jinhua","China","CN","Wucheng District","Central urban commercial core","low","29.1017485","119.6667113","Jinhua Museum","Jinhua Museum, Wucheng District, Jinhua, China","ok","553248635976003669","china/zhejiang/jinhua/wucheng-district","neighborhood","553248635976003669.jpg","china/zhejiang/jinhua/wucheng-district.jpg","city-slug:china/zhejiang/jinhua/wucheng-district","20.6","resolved"
"Cixi","China","CN","Cixi City Center","Central commercial urban core","low","30.152076","121.241443","Cixi City Government","Cixi City Center, Cixi, China","ok","","","","","","","","unresolved"
"Changde","China","CN","Wuling District","Central urban commercial core","low","29.1237","110.487051","Changde People's Square","Changde People's Square, Wuling District, Changde, China","ok","553248635976002532","china/hunan/changde/wuling-district","neighborhood","553248635976002532.jpg","china/hunan/changde/wuling-district.jpg","city-slug:china/hunan/changde/wuling-district","118.5","resolved"
"Kaifeng","China","CN","Gulou District","Historic central commercial core","low","34.8167898","114.3724902","Iron Pagoda","Iron Pagoda, Gulou District, Kaifeng, China","ok","553248635976003516","china/henan/kaifeng/gulou-district","neighborhood","553248635976003516.jpg","china/henan/kaifeng/gulou-district.jpg","seed:china/henan/kaifeng/gulou-district","11.0","resolved"
"Anshan","China","CN","Tiedong District","Central urban commercial core","low","41.1057119","123.0186731","Anshan Museum","Anshan Museum, Tiedong District, Anshan, China","ok","553248635976002936","china/liaoning/anshan/tiedong-district","neighborhood","553248635976002936.jpg","china/liaoning/anshan/tiedong-district.jpg","city-slug:china/liaoning/anshan/tiedong-district","8.1","resolved"
"Baoji","China","CN","Weibin District","Central urban commercial core","low","34.3477448","107.1910394","Baoji Bronze Museum","Baoji Bronze Museum, Weibin District, Baoji, China","ok","553248635976003755","china/shaanxi/baoji/weibin-district","neighborhood","553248635976003755.jpg","china/shaanxi/baoji/weibin-district.jpg","seed:china/shaanxi/baoji/weibin-district","10.5","resolved"
"Suqian","China","CN","Sucheng District","Central urban commercial core","low","31.303516","120.627563","Suqian People's Park","Suqian People's Park, Sucheng District, Suqian, China","ok","553248635976002846","china/jiangsu/suqian/sucheng-district","neighborhood","553248635976002846.jpg","china/jiangsu/suqian/sucheng-district.jpg","city-slug:china/jiangsu/suqian/sucheng-district","349.8","resolved"
"Liuzhou","China","CN","Chengzhong District","Central urban commercial core","low","24.306426","109.390733","Liuzhou People's Square","Liuzhou People's Square, Chengzhong District, Liuzhou, China","ok","553248635976003642","china/guangxi/liuzhou/chengzhong-district","neighborhood","553248635976003642.jpg","china/guangxi/liuzhou/chengzhong-district.jpg","seed:china/guangxi/liuzhou/chengzhong-district","10.0","resolved"
"Zhangjiagang","China","CN","Yangshe Town","Central urban commercial core","low","31.86264","120.51556","Yangshe Town Government","Yangshe Town Government, Yangshe Town, Zhangjiagang, China","ok","","","","","","","","unresolved"
"Jinjiang","China","CN","Jinjiang City Center","Central commercial urban core","low","24.8085014","118.5647583","Jinjiang City Government","Jinjiang City Government, Jinjiang City Center, Jinjiang, China","ok","","","","","","","","unresolved"
"Bozhou","China","CN","Qiaocheng District","Central urban commercial core","low","33.8481399","115.7842951","Bozhou Museum","Bozhou Museum, Qiaocheng District, Bozhou, China","ok","","","","","","","","unresolved"
"Qujing","China","CN","Qilin District","Central urban commercial core","low","25.4951343","103.8048095","Qilin District Government","Qilin District Government, Qilin District, Qujing, China","ok","","","","","","","","unresolved"
"Zhanjiang","China","CN","Chikan District","Central urban commercial core","low","21.234144","110.396114","Zhanjiang People's Square","Zhanjiang People's Square, Chikan District, Zhanjiang, China","ok","553248635976002859","china/guangdong/zhanjiang/chikan-district","neighborhood","553248635976002859.jpg","china/guangdong/zhanjiang/chikan-district.jpg","seed:china/guangdong/zhanjiang/chikan-district","4.7","resolved"
"Fushun","China","CN","Shuncheng District","Central urban commercial core","low","41.8513543","123.8018724","Fushun Museum","Fushun Museum, Shuncheng District, Fushun, China","ok","","","","","","","","unresolved"
"Luoyang","China","CN","Laocheng District","Historic walkable cultural district","medium","34.5594987","112.4678779","Longmen Grottoes","Longmen Grottoes, Laocheng District, Luoyang, China","ok","","","","","","","","unresolved"
"Luoyang","China","CN","Xigong District","Central urban commercial core","medium","34.642079","112.45335","Luoyang Museum","Luoyang Museum, Xigong District, Luoyang, China","ok","","","","","","","","unresolved"
"Guankou","China","CN","Guankou Town Center","Central urban area","low","24.61988","117.99864","Guankou Town Government","Guankou Town Center, Guankou, China","ok","","","","","","","","unresolved"
"Handan","China","CN","Congtai District","Central urban core","medium","36.607245","114.526294","Handan Confucius Temple","Handan Confucius Temple, Congtai District, Handan, China","ok","","","","","","","","unresolved"
"Yichang","China","CN","Xiling District","Central urban riverside core","medium","30.681741","111.295036","Yichang Yangtze River Bridge","Yichang Yangtze River Bridge, Xiling District, Yichang, China","ok","3000749486","china/hubei/yichang/xiling-qu","neighborhood","3000749486.jpg","china/hubei/yichang/xiling-qu.jpg","seed:china/hubei/yichang/xiling-qu","2.6","resolved"
"Heze","China","CN","Mudan District","Central urban core","low","35.26701","115.50063","Heze People's Square","Heze People's Square, Mudan District, Heze, China","ok","553248635976003524","china/shandong/heze/mudan-district","neighborhood","553248635976003524.jpg","china/shandong/heze/mudan-district.jpg","seed:china/shandong/heze/mudan-district","4.0","resolved"
"Liupanshui","China","CN","Zhongshan District","Central urban core","low","22.67582","113.232992","Liupanshui People's Park","Liupanshui People's Park, Zhongshan District, Liupanshui, China","ok","553248635976003648","china/guizhou/liupanshui/zhongshan-district","neighborhood","553248635976003648.jpg","china/guizhou/liupanshui/zhongshan-district.jpg","city-slug:china/guizhou/liupanshui/zhongshan-district","959.0","resolved"
"Maoming","China","CN","Maonan District","Central urban core","low","21.650403","110.922793","Maoming People's Square","Maoming People's Square, Maonan District, Maoming, China","ok","553248635976002526","china/guangdong/maoming/maonan-district","neighborhood","553248635976002526.jpg","china/guangdong/maoming/maonan-district.jpg","seed:china/guangdong/maoming/maonan-district","7.5","resolved"
"Qinzhou","China","CN","Qinnan District","Central urban core","low","23.1278381","113.264382","Qinzhou People's Park","Qinzhou People's Park, Qinnan District, Qinzhou, China","ok","","","","","","","","unresolved"
"Luohe","China","CN","Yuanhui District","Central urban core","low","33.564784","114.039535","Luohe People's Square","Luohe People's Square, Yuanhui District, Luohe, China","ok","553248635976003360","china/henan/luohe/yuanhui-district","neighborhood","553248635976003360.jpg","china/henan/luohe/yuanhui-district.jpg","city-slug:china/henan/luohe/yuanhui-district","12.1","resolved"
"Xiangyang","China","CN","Xiangcheng District","Central historic urban core","low","32.023087","112.147621","Xiangyang Ancient City Wall","Xiangyang Ancient City Wall, Xiangcheng District, Xiangyang, China","ok","6140642","china/hubei/xiangcheng","neighborhood","6140642.jpg","china/hubei/xiangcheng.jpg","city-slug:china/hubei/xiangcheng","2.4","resolved"
"Yangjiang","China","CN","Jiangcheng District","Central urban core","low","21.85666","111.960544","Yangjiang People's Square","Yangjiang People's Square, Jiangcheng District, Yangjiang, China","ok","553248635976002855","china/guangdong/yangjiang/jiangcheng-district","neighborhood","553248635976002855.jpg","china/guangdong/yangjiang/jiangcheng-district.jpg","seed:china/guangdong/yangjiang/jiangcheng-district","10.1","resolved"
"Yixing","China","CN","Yicheng","Central urban core","low","36.639452","101.758113","Yixing People's Park","Yixing People's Park, Yicheng, Yixing, China","ok","","","","","","","","unresolved"
"Xuchang","China","CN","Weidu District","Central urban core","low","34.01739","113.837008","Xuchang Museum","Xuchang Museum, Weidu District, Xuchang, China","ok","553248635976002581","china/henan/xuchang/weidu-district","neighborhood","553248635976002581.jpg","china/henan/xuchang/weidu-district.jpg","seed:china/henan/xuchang/weidu-district","3.3","resolved"
"Zigong","China","CN","Ziliujing District","Central urban core","low","29.394963","104.827791","Ziliujing Museum","Ziliujing Museum, Ziliujing District, Zigong, China","ok","","","","","","","","unresolved"
"Xuzhou","China","CN","Yunlong District","Central urban core","low","34.250586","117.186093","Xuzhou Museum","Xuzhou Museum, Yunlong District, Xuzhou, China","ok","553248635976002632","china/jiangsu/xuzhou/yunlong-district","neighborhood","553248635976002632.jpg","china/jiangsu/xuzhou/yunlong-district.jpg","city-slug:china/jiangsu/xuzhou/yunlong-district","7.9","resolved"
"Xinyang","China","CN","Shihe District","Central urban core","low","32.129897","114.039497","Xinyang Normal University","Xinyang Normal University, Shihe District, Xinyang, China","ok","553248635976002729","china/henan/xinyang/shihe-district","neighborhood","553248635976002729.jpg","china/henan/xinyang/shihe-district.jpg","city-slug:china/henan/xinyang/shihe-district","12.6","resolved"
"Liaocheng","China","CN","Dongchangfu District","Central urban core","low","36.4345199","115.98847","Dongchangfu Government Building","Dongchangfu Government Building, Dongchangfu District, Liaocheng, China","ok","553248635976003828","china/shandong/liaocheng/dongchangfu-district","neighborhood","553248635976003828.jpg","china/shandong/liaocheng/dongchangfu-district.jpg","city-slug:china/shandong/liaocheng/dongchangfu-district","5.3","resolved"
"Jinzhong","China","CN","Yuci District","Central urban core","low","34.252061","108.950297","Yuci Ancient City Wall","Yuci Ancient City Wall, Yuci District, Jinzhong, China","ok","6084852","china/shanxi/yuci","neighborhood","6084852.jpg","china/shanxi/yuci.jpg","sheet-offline:china/shanxi/yuci","","resolved"
"Tianshui","China","CN","Qinzhou District","Central urban commercial core","low","34.34866","106.009915","Maiji Mountain Grottoes","Maiji Mountain Grottoes, Qinzhou District, Tianshui, China","ok","553248635976003859","china/gansu/tianshui/qinzhou-district","neighborhood","553248635976003859.jpg","china/gansu/tianshui/qinzhou-district.jpg","seed:china/gansu/tianshui/qinzhou-district","35.8","resolved"
"Weinan","China","CN","Linwei District","Central urban commercial core","low","34.237312","108.94025","Weinan Museum","Weinan Museum, Linwei District, Weinan, China","ok","","","","","","","","unresolved"
"Jiaxing","China","CN","Nanhu District","Central urban commercial core","low","30.71354","120.76377","Nanhu Park","Nanhu Park, Nanhu District, Jiaxing, China","ok","3000749804","china/zhejiang/nanhu-qu","neighborhood","3000749804.jpg","china/zhejiang/nanhu-qu.jpg","sheet:china/zhejiang/nanhu-qu","4.1","resolved"
"Jiujiang","China","CN","Xunyang District","Central urban commercial core","low","29.73374","116.001942","Xunyang Pavilion","Xunyang Pavilion, Xunyang District, Jiujiang, China","ok","","","","","","","","unresolved"
"Anyang","China","CN","Beiguan District","Central urban commercial core","low","36.0900123","114.3929688","Anyang Museum","Anyang Museum, Beiguan District, Anyang, China","ok","553248635976002703","china/henan/anyang/beiguan-district","neighborhood","553248635976002703.jpg","china/henan/anyang/beiguan-district.jpg","city-slug:china/henan/anyang/beiguan-district","5.4","resolved"
"Luohu District","China","CN","Dongmen","Bustling pedestrian shopping district","medium","22.544241","114.12091","Dongmen Pedestrian Street","Dongmen Pedestrian Street, Dongmen, Luohu District, China","ok","553248635921598928","china/guangdong/shenzhen/dongmen","neighborhood","553248635921598928.jpg","china/guangdong/shenzhen/dongmen.jpg","seed:china/guangdong/shenzhen/dongmen","0.3","resolved"
"Luohu District","China","CN","Luohu Commercial City","Central commercial retail hub","medium","22.53057","114.119364","Luohu Commercial City","Luohu Commercial City, Luohu District, Shenzhen, China","ok","6286374","china/guangdong/shenzhen/luohu-commercial-city","point_of_interest","6286374.jpg","china/guangdong/shenzhen/luohu-commercial-city.jpg","seed:china/guangdong/shenzhen/luohu-commercial-city","0.8","resolved"
"Luohu District","China","CN","Caiwuwei / KK Mall area","Upscale business and retail","low","22.543968","114.106622","KK Mall","KK Mall, Caiwuwei, Luohu District, Shenzhen, China","ok","","","","","","","","unresolved"
"Bijie","China","CN","Qixingguan District","Central urban commercial core","low","26.6158625","106.6907216","Bijie People's Park","Bijie People's Park, Qixingguan District, Bijie, China","ok","553248635976003300","china/guizhou/bijie/qixingguan-district","neighborhood","553248635976003300.jpg","china/guizhou/bijie/qixingguan-district.jpg","city-slug:china/guizhou/bijie/qixingguan-district","161.3","resolved"
"Zhuzhou","China","CN","Tianyuan District","Modern central commercial core","low","27.820431","113.12252","Zhuzhou Central Plaza","Zhuzhou Central Plaza, Tianyuan District, Zhuzhou, China","ok","553248635976006248","china/hunan/zhuzhou/tianyuan","neighborhood","553248635976006248.jpg","china/hunan/zhuzhou/tianyuan.jpg","seed:china/hunan/zhuzhou/tianyuan","13.6","resolved"
"Shangrao","China","CN","Xinzhou District","Central urban commercial core","low","28.445197","117.969228","Xinzhou People's Square","Xinzhou People's Square, Xinzhou District, Shangrao, China","ok","553248635976002679","china/jiangxi/shangrao/xinzhou-district","neighborhood","553248635976002679.jpg","china/jiangxi/shangrao/xinzhou-district.jpg","city-slug:china/jiangxi/shangrao/xinzhou-district","9.3","resolved"
"Huaibei","China","CN","Xiangshan District","Central urban commercial core","low","33.983884","116.79807","Xiangshan Park","Xiangshan Park, Xiangshan District, Huaibei, China","ok","553248635976003603","china/anhui/huaibei/xiangshan-district","neighborhood","553248635976003603.jpg","china/anhui/huaibei/xiangshan-district.jpg","city-slug:china/anhui/huaibei/xiangshan-district","5.3","resolved"
"Meishan","China","CN","Dongpo District","Central urban commercial core","low","30.06107","103.8503999","Dongpo Park","Dongpo Park, Dongpo District, Meishan, China","ok","","","","","","","","unresolved"
"Fuzhou","China","CN","Gulou District","Central historic commercial core","medium","26.0819799","119.30405","Fuzhou Drum Tower","Fuzhou Drum Tower, Gulou District, Fuzhou, China","ok","553248633981709404","china/fujian/fuzhou/gulou","neighborhood","553248633981709404.jpg","china/fujian/fuzhou/gulou.jpg","city-slug:china/fujian/fuzhou/gulou","2.3","resolved"
"Fuzhou","China","CN","Taijiang District","Central commercial waterfront area","medium","29.24019","107.89596","Wulongtan Park","Wulongtan Park, Taijiang District, Fuzhou, China","ok","553248635976003559","china/fujian/fuzhou/taijiang-district","neighborhood","553248635976003559.jpg","china/fujian/fuzhou/taijiang-district.jpg","city-slug:china/fujian/fuzhou/taijiang-district","298.7","resolved"
"Fuzhou","China","CN","Three Lanes Seven Alleys","Historic cultural dining district","medium","26.085262","119.296521","Three Lanes and Seven Alleys Historic District","Three Lanes and Seven Alleys Historic District, Fuzhou, China","ok","","","","","","","","unresolved"
"Fuzhou","China","CN","City Centre","Central commercial district","low","26.075522","119.308044","Wuyi Square","Wuyi Square, City Centre, Fuzhou, China","ok","","","","","","","","unresolved"
"Guigang","China","CN","City Centre","Central downtown district","low","25.2739","110.290209","Guigang People's Square","City Centre, Guigang, China","ok","","","","","","","","unresolved"
"Hengyang","China","CN","City Centre","Central commercial district","low","30.657132","104.057246","Hengyang People's Park","Hengyang People's Park, City Centre, Hengyang, China","ok","","","","","","","","unresolved"
"Yulin","China","CN","City Centre","Central commercial district","low","22.623515","110.157358","Yulin People's Square","Yulin People's Square, City Centre, Yulin, China","ok","","","","","","","","unresolved"
"Jingzhou","China","CN","City Centre","Central commercial district","low","30.348043","112.216014","Jingzhou Ancient City Wall","Jingzhou Ancient City Wall, City Centre, Jingzhou, China","ok","","","","","","","","unresolved"
"Xinxiang","China","CN","City Centre","Central commercial district","low","35.2985167","113.8883376","Xinxiang People's Park","Xinxiang People's Park, City Centre, Xinxiang, China","ok","","","","","","","","unresolved"
"Yichun","China","CN","City Centre","Central commercial district","low","28.679264","115.819424","Yichun People's Square","City Centre, Yichun, China","ok","","","","","","","","unresolved"
"Xianyang","China","CN","City Centre","Central commercial district","low","34.237312","108.94025","Xianyang Museum","Xianyang Museum, City Centre, Xianyang, China","ok","","","","","","","","unresolved"
"Sanya","China","CN","Dadonghai","Beachfront tourist and dining area","high","18.21692","109.5224","Dadonghai Beach","Dadonghai Beach, Dadonghai, Sanya, China","ok","","","","","","","","unresolved"
"Sanya","China","CN","Yalong Bay","Upscale resort beachfront district","high","18.249521","109.624674","Yalong Bay Tropical Paradise Forest Park","Yalong Bay Tropical Paradise Forest Park, Yalong Bay, Sanya, China","ok","6069860","china/hainan/sanya/yalong-bay","point_of_interest","6069860.jpg","china/hainan/sanya/yalong-bay.jpg","seed:china/hainan/sanya/yalong-bay","5.9","resolved"
"Sanya","China","CN","Sanya Bay","Waterfront tourist strip","medium","18.279309","109.470411","Sanya Bay Beach","Sanya Bay Beach, Sanya Bay, Sanya, China","ok","6069862","china/hainan/sanya/sanya-bay","point_of_interest","6069862.jpg","china/hainan/sanya/sanya-bay.jpg","seed:china/hainan/sanya/sanya-bay","6.5","resolved"
"Shaoguan","China","CN","City Centre","Central commercial district","low","30.657132","104.057246","Shaoguan People's Park","Shaoguan People's Park, City Centre, Shaoguan, China","ok","","","","","","","","unresolved"
"Longyan","China","CN","City Centre","Central commercial district","low","25.07368","117.017286","Longyan People's Square","Longyan People's Square, City Centre, Longyan, China","ok","","","","","","","","unresolved"
"Yongzhou","China","CN","City Centre","Central commercial district","low","31.22967","121.476161","Yongzhou People's Square","Yongzhou People's Square, City Centre, Yongzhou, China","ok","","","","","","","","unresolved"
"Huzhou","China","CN","City Centre","Central commercial district","low","34.762575","113.661101","Huzhou People's Park","Huzhou People's Park, City Centre, Huzhou, China","ok","","","","","","","","unresolved"
"Hanzhong","China","CN","City Centre","Central commercial district","low","33.069836","107.033511","Hanzhong Confucian Temple","Hanzhong Confucian Temple, City Centre, Hanzhong, China","ok","","","","","","","","unresolved"
"Hezhou","China","CN","City Centre","Central commercial district","low","24.402283","111.56729","Hezhou People's Park","Hezhou People's Park, City Centre, Hezhou, China","ok","","","","","","","","unresolved"
"Zhu Cheng City","China","CN","City Centre","Central commercial district","low","36.010341","119.396042","Zhucheng City Museum","Zhucheng City Museum, City Centre, Zhucheng City, China","ok","","","","","","","","unresolved"
"Dongying","China","CN","Dongcheng","central urban district","low","37.057847","118.405982","Dongying Museum","Dongying Museum, Dongcheng, Dongying, China","ok","","","","","","","","unresolved"
"Ziyang","China","CN","City Center (Yanjiang)","central commercial district","low","30.119677","104.631588","Yanjiang Park","City Center (Yanjiang), Ziyang, China","ok","553248635976002468","china/sichuan/ziyang/yanjiang-district","neighborhood","553248635976002468.jpg","china/sichuan/ziyang/yanjiang-district.jpg","city-aggregation:china/sichuan/ziyang/yanjiang-district","11.6","resolved"
"Quzhou","China","CN","City Center","central business district","low","31.22967","121.476161","Quzhou People's Square","Quzhou People's Square, City Center, Quzhou, China","ok","","","","","","","","unresolved"
"Pingxiang","China","CN","City Center","central commercial district","low","27.6099301","113.8523389","Pingxiang People's Park","Pingxiang People's Park, City Center, Pingxiang, China","ok","","","","","","","","unresolved"
"Zhoushan","China","CN","Dinghai District","central urban core","low","30.0178923","122.1116808","Dinghai Ancient City Wall","Dinghai Ancient City Wall, Dinghai District, Zhoushan, China","ok","553248633981737546","china/zhejiang/dinghai-district","neighborhood","553248633981737546.jpg","china/zhejiang/dinghai-district.jpg","seed:china/zhejiang/dinghai-district","11.2","resolved"
"Qiqihar","China","CN","City Center","central commercial district","low","47.194229","124.240121","Qiqihar Zhalong Nature Reserve Visitor Center","Qiqihar Zhalong Nature Reserve Visitor Center, City Center, Qiqihar, China","ok","","","","","","","","unresolved"
"Puning","China","CN","City Center","central commercial district","low","23.294138","116.192909","Puning People's Park","Puning People's Park, City Center, Puning, China","ok","","","","","","","","unresolved"
"Ankang","China","CN","City Center","central commercial district","low","30.657132","104.057246","Ankang People's Park","Ankang People's Park, City Center, Ankang, China","ok","","","","","","","","unresolved"
"Langfang","China","CN","City Center","central commercial district","low","39.99167","117.073212","Langfang People's Park","Langfang People's Park, City Center, Langfang, China","ok","","","","","","","","unresolved"
"Jiaozuo","China","CN","City Center","central commercial district","low","34.762575","113.661101","Jiaozuo People's Park","Jiaozuo People's Park, City Center, Jiaozuo, China","ok","","","","","","","","unresolved"
"Wanxian","China","CN","Wanzhou Old Town","central riverside district","low","30.653955","108.252475","Wanzhou Old Town Riverside Park","Wanzhou Old Town Riverside Park, Wanzhou Old Town, Wanxian, China","ok","","","","","","","","unresolved"
"Guang’an","China","CN","City Center","central commercial district","low","23.132258","113.322584","Guang'an People's Park","City Center, Guang’an, China","ok","","","","","","","","unresolved"
"Weihai","China","CN","City Center","central coastal commercial district","low","37.45334","122.153052","Weihai International Beach Park","Weihai International Beach Park, City Center, Weihai, China","ok","","","","","","","","unresolved"
"Zhabei","China","CN","Zhabei (North Shanghai)","urban district near city center","low","31.270803","121.460636","Zhabei Park","Zhabei Park, Zhabei, Shanghai, China","ok","553248635939578139","china/shanghai/zhabei","neighborhood","553248635939578139.jpg","china/shanghai/zhabei.jpg","seed:china/shanghai/zhabei","1.3","resolved"
"Xinyu","China","CN","City Center","central commercial district","low","30.657132","104.057246","Xinyu People's Park","Xinyu People's Park, City Center, Xinyu, China","ok","","","","","","","","unresolved"
"Yibin","China","CN","Cuiping District","central riverside urban core","low","28.765197","104.610328","Yibin Cuiping Riverside Park","Yibin Cuiping Riverside Park, Cuiping District, Yibin, China","ok","553248635976002750","china/sichuan/yibin/cuiping-district","neighborhood","553248635976002750.jpg","china/sichuan/yibin/cuiping-district.jpg","city-slug:china/sichuan/yibin/cuiping-district","8.9","resolved"
"Taicang","China","CN","City Center","central commercial district","low","31.232226","121.473219","Taicang People's Park","Taicang People's Park, City Center, Taicang, China","ok","","","","","","","","unresolved"
"Chenzhou","China","CN","Beihu District","Central urban core","low","25.798409","113.026993","Beihu Park","Beihu Park, Beihu District, Chenzhou, China","ok","553248635976002621","china/hunan/chenzhou/beihu-district","neighborhood","553248635976002621.jpg","china/hunan/chenzhou/beihu-district.jpg","seed:china/hunan/chenzhou/beihu-district","16.7","resolved"
"Anqing","China","CN","Yingjiang District","Central urban riverside district","low","30.5090199","117.07854","Yingjiang Riverside Park","Yingjiang Riverside Park, Yingjiang District, Anqing, China","ok","553248635976002627","china/anhui/anqing/yingjiang-district","neighborhood","553248635976002627.jpg","china/anhui/anqing/yingjiang-district.jpg","city-slug:china/anhui/anqing/yingjiang-district","10.3","resolved"
"Xingtai","China","CN","Qiaodong District","Central urban district","low","37.0678695","114.5071323","Qiaodong Park","Qiaodong Park, Qiaodong District, Xingtai, China","ok","553248635976003654","china/hebei/xingtai/qiaodong-district","neighborhood","553248635976003654.jpg","china/hebei/xingtai/qiaodong-district.jpg","seed:china/hebei/xingtai/qiaodong-district","1.8","resolved"
"Zhaotong","China","CN","Zhaoyang District","Central urban district","low","27.34855","103.72992","Zhaoyang People's Park","Zhaoyang People's Park, Zhaoyang District, Zhaotong, China","ok","","","","","","","","unresolved"
"Panzhihua","China","CN","East District","Central urban core","low","26.5719125","101.7184175","Panzhihua People's Park","Panzhihua People's Park, East District, Panzhihua, China","ok","","","","","","","","unresolved"
"Chuzhou","China","CN","Langya District","Central urban district","low","32.2949795","118.30592","Langya Park","Langya Park, Langya District, Chuzhou, China","ok","3000749324","china/anhui/chuzhou/langya-qu","neighborhood","3000749324.jpg","china/anhui/chuzhou/langya-qu.jpg","seed:china/anhui/chuzhou/langya-qu","1.2","resolved"
"Xuancheng","China","CN","Xuanzhou District","Central urban district","low","31.2138899","118.99518","Xuanzhou Park","Xuanzhou Park, Xuanzhou District, Xuancheng, China","ok","","","","","","","","unresolved"
"Shangyu","China","CN","Baiguan","Central urban district","low","30.003284","120.881654","Baiguan Park","Baiguan Park, Baiguan, Shangyu, China","ok","","","","","","","","unresolved"
"Anshun","China","CN","Xixiu District","Central urban district","low","25.988779","105.6696598","Xixiu Park","Xixiu Park, Xixiu District, Anshun, China","ok","553248635976002610","china/guizhou/anshun/xixiu-district","neighborhood","553248635976002610.jpg","china/guizhou/anshun/xixiu-district.jpg","seed:china/guizhou/anshun/xixiu-district","44.7","resolved"
"Wuzhou","China","CN","Wanxiu District","Central urban district","low","23.4718642","111.3087225","Wanxiu Riverside Park","Wanxiu Riverside Park, Wanxiu District, Wuzhou, China","ok","","","","","","","","unresolved"
