"parent_id","neighborhood","city","region","country","country_code","destination"
"neighborhoods/br-sete-lagoas/city-centre","City Centre","Sete Lagoas","","Brazil","BR","City Centre, Sete Lagoas, Brazil"
"neighborhoods/br-simoes-filho/city-centre","City Centre","Simões Filho","","Brazil","BR","City Centre, Simões Filho, Brazil"
"neighborhoods/br-sinop/city-centre","City Centre","Sinop","","Brazil","BR","City Centre, Sinop, Brazil"
"neighborhoods/br-sobral/city-centre","City Centre","Sobral","","Brazil","BR","City Centre, Sobral, Brazil"
"neighborhoods/br-sorriso/city-centre","City Centre","Sorriso","","Brazil","BR","City Centre, Sorriso, Brazil"
"neighborhoods/br-sumare/centro","Centro","Sumaré","","Brazil","BR","Centro, Sumaré, Brazil"
"neighborhoods/br-taboao-da-serra/centro","Centro","Taboão da Serra","","Brazil","BR","Centro, Taboão da Serra, Brazil"
"neighborhoods/br-tangara-da-serra/city-centre","City Centre","Tangará da Serra","","Brazil","BR","City Centre, Tangará da Serra, Brazil"
"neighborhoods/br-tatui/city-centre","City Centre","Tatuí","","Brazil","BR","City Centre, Tatuí, Brazil"
"neighborhoods/br-taubate/centro","Centro","Taubaté","","Brazil","BR","Centro, Taubaté, Brazil"
"neighborhoods/br-teixeira-de-freitas/city-centre","City Centre","Teixeira de Freitas","","Brazil","BR","City Centre, Teixeira de Freitas, Brazil"
"neighborhoods/br-teofilo-otoni/city-centre","City Centre","Teófilo Otoni","","Brazil","BR","City Centre, Teófilo Otoni, Brazil"
"neighborhoods/br-teresina/ininga","Ininga","Teresina","","Brazil","BR","Ininga, Teresina, Brazil"
"neighborhoods/br-teresina/joquei","Jóquei","Teresina","","Brazil","BR","Jóquei, Teresina, Brazil"
"neighborhoods/br-teresopolis/city-centre","City Centre","Teresópolis","","Brazil","BR","City Centre, Teresópolis, Brazil"
"neighborhoods/br-toledo/city-centre","City Centre","Toledo","","Brazil","BR","City Centre, Toledo, Brazil"
"neighborhoods/br-trindade/city-centre","City Centre","Trindade","","Brazil","BR","City Centre, Trindade, Brazil"
"neighborhoods/br-tubarao/city-centre","City Centre","Tubarão","","Brazil","BR","City Centre, Tubarão, Brazil"
"neighborhoods/br-uba/city-centre","City Centre","Ubá","","Brazil","BR","City Centre, Ubá, Brazil"
"neighborhoods/br-umuarama/city-centre","City Centre","Umuarama","","Brazil","BR","City Centre, Umuarama, Brazil"
"neighborhoods/br-uruguaiana/city-centre","City Centre","Uruguaiana","","Brazil","BR","City Centre, Uruguaiana, Brazil"
"neighborhoods/br-valparaiso-de-goias/city-centre","City Centre","Valparaíso de Goiás","","Brazil","BR","City Centre, Valparaíso de Goiás, Brazil"
"neighborhoods/br-varginha/city-centre","City Centre","Varginha","","Brazil","BR","City Centre, Varginha, Brazil"
"neighborhoods/br-viamao/centro","Centro","Viamão","","Brazil","BR","Centro, Viamão, Brazil"
"neighborhoods/br-vila-velha/centro","Centro","Vila Velha","","Brazil","BR","Centro, Vila Velha, Brazil"
"neighborhoods/br-vila-velha/praia-da-costa","Praia da Costa","Vila Velha","","Brazil","BR","Praia da Costa, Vila Velha, Brazil"
"neighborhoods/br-volta-redonda/aterrado","Aterrado","Volta Redonda","","Brazil","BR","Aterrado, Volta Redonda, Brazil"
"neighborhoods/bs-nassau/downtown-nassau","Downtown Nassau","Nassau","","Bahamas","BS","Downtown Nassau, Nassau, Bahamas"
"neighborhoods/bw-francistown/city-centre","City Centre","Francistown","","Botswana","BW","City Centre, Francistown, Botswana"
"neighborhoods/bw-gaborone/city-centre","City Centre","Gaborone","","Botswana","BW","City Centre, Gaborone, Botswana"
"neighborhoods/by-baranovichi/city-centre","City Centre","Baranovichi","","Belarus","BY","City Centre, Baranovichi, Belarus"
"neighborhoods/by-barysaw/city-centre","City Centre","Barysaw","","Belarus","BY","City Centre, Barysaw, Belarus"
"neighborhoods/by-bobruysk/city-centre","City Centre","Bobruysk","","Belarus","BY","City Centre, Bobruysk, Belarus"
"neighborhoods/by-brest/city-centre","City Centre","Brest","","Belarus","BY","City Centre, Brest, Belarus"
"neighborhoods/by-homyel/tsentralny-district","Tsentralny District","Homyel'","","Belarus","BY","Tsentralny District, Homyel', Belarus"
"neighborhoods/by-hrodna/old-town","Old Town","Hrodna","","Belarus","BY","Old Town, Hrodna, Belarus"
"neighborhoods/by-hrodna/sovetskaya-street","Sovetskaya Street","Hrodna","","Belarus","BY","Sovetskaya Street, Hrodna, Belarus"
"neighborhoods/by-lida/city-centre","City Centre","Lida","","Belarus","BY","City Centre, Lida, Belarus"
"neighborhoods/by-mahilyow/city-center","City Center","Mahilyow","","Belarus","BY","City Center, Mahilyow, Belarus"
"neighborhoods/by-mazyr/city-centre","City Centre","Mazyr","","Belarus","BY","City Centre, Mazyr, Belarus"
"neighborhoods/by-minsk/nyamiha","Nyamiha","Minsk","","Belarus","BY","Nyamiha, Minsk, Belarus"
"neighborhoods/by-minsk/trinity-suburb","Trinity Suburb","Minsk","","Belarus","BY","Trinity Suburb, Minsk, Belarus"
"neighborhoods/by-orsha/city-centre","City Centre","Orsha","","Belarus","BY","City Centre, Orsha, Belarus"
"neighborhoods/by-pinsk/city-centre","City Centre","Pinsk","","Belarus","BY","City Centre, Pinsk, Belarus"
"neighborhoods/by-vitebsk/city-center","City Center","Vitebsk","","Belarus","BY","City Center, Vitebsk, Belarus"
"neighborhoods/ca-abbotsford/city-centre","City Centre","Abbotsford","","Canada","CA","City Centre, Abbotsford, Canada"
"neighborhoods/ca-ajax/city-centre","City Centre","Ajax","","Canada","CA","City Centre, Ajax, Canada"
"neighborhoods/ca-barrie/city-centre","City Centre","Barrie","","Canada","CA","City Centre, Barrie, Canada"
"neighborhoods/ca-brampton/downtown-brampton","Downtown Brampton","Brampton","","Canada","CA","Downtown Brampton, Brampton, Canada"
"neighborhoods/ca-brantford/city-centre","City Centre","Brantford","","Canada","CA","City Centre, Brantford, Canada"
"neighborhoods/ca-chilliwack/city-centre","City Centre","Chilliwack","","Canada","CA","City Centre, Chilliwack, Canada"
"neighborhoods/ca-edmonton/124-street","124 Street","Edmonton","","Canada","CA","124 Street, Edmonton, Canada"
"neighborhoods/ca-edmonton/oliver","Oliver","Edmonton","","Canada","CA","Oliver, Edmonton, Canada"
"neighborhoods/ca-edmonton/whyte-avenue","Whyte Avenue","Edmonton","","Canada","CA","Whyte Avenue, Edmonton, Canada"
"neighborhoods/ca-etobicoke/islington-village","Islington Village","Etobicoke","","Canada","CA","Islington Village, Etobicoke, Canada"
"neighborhoods/ca-greater-sudbury/city-centre","City Centre","Greater Sudbury","","Canada","CA","City Centre, Greater Sudbury, Canada"
"neighborhoods/ca-guelph/city-centre","City Centre","Guelph","","Canada","CA","City Centre, Guelph, Canada"
"neighborhoods/ca-halifax/hydrostone","Hydrostone","Halifax","","Canada","CA","Hydrostone, Halifax, Canada"
"neighborhoods/ca-halifax/spring-garden","Spring Garden","Halifax","","Canada","CA","Spring Garden, Halifax, Canada"
"neighborhoods/ca-hamilton/downtown-hamilton","Downtown Hamilton","Hamilton","","Canada","CA","Downtown Hamilton, Hamilton, Canada"
"neighborhoods/ca-hamilton/james-street-north","James Street North","Hamilton","","Canada","CA","James Street North, Hamilton, Canada"
"neighborhoods/ca-hamilton/locke-street","Locke Street","Hamilton","","Canada","CA","Locke Street, Hamilton, Canada"
"neighborhoods/ca-hamilton/ottawa-street","Ottawa Street","Hamilton","","Canada","CA","Ottawa Street, Hamilton, Canada"
"neighborhoods/ca-hamilton/westdale","Westdale","Hamilton","","Canada","CA","Westdale, Hamilton, Canada"
"neighborhoods/ca-kamloops/city-centre","City Centre","Kamloops","","Canada","CA","City Centre, Kamloops, Canada"
"neighborhoods/ca-kelowna/city-centre","City Centre","Kelowna","","Canada","CA","City Centre, Kelowna, Canada"
"neighborhoods/ca-kingston/downtown-kingston","Downtown Kingston","Kingston","","Canada","CA","Downtown Kingston, Kingston, Canada"
"neighborhoods/ca-kitchener/downtown-kitchener","Downtown Kitchener","Kitchener","","Canada","CA","Downtown Kitchener, Kitchener, Canada"
"neighborhoods/ca-laval/carre-laval","Carré Laval","Laval","","Canada","CA","Carré Laval, Laval, Canada"
"neighborhoods/ca-laval/vieux-sainte-rose","Vieux-Sainte-Rose","Laval","","Canada","CA","Vieux-Sainte-Rose, Laval, Canada"
"neighborhoods/ca-lethbridge/city-centre","City Centre","Lethbridge","","Canada","CA","City Centre, Lethbridge, Canada"
"neighborhoods/ca-london/old-east-village","Old East Village","London","","Canada","CA","Old East Village, London, Canada"
"neighborhoods/ca-london/wortley-village","Wortley Village","London","","Canada","CA","Wortley Village, London, Canada"
"neighborhoods/ca-milton/city-centre","City Centre","Milton","","Canada","CA","City Centre, Milton, Canada"
"neighborhoods/ca-mississauga/square-one","Square One","Mississauga","","Canada","CA","Square One, Mississauga, Canada"
"neighborhoods/ca-oshawa/city-centre","City Centre","Oshawa","","Canada","CA","City Centre, Oshawa, Canada"
"neighborhoods/ca-ottawa/old-ottawa-south","Old Ottawa South","Ottawa","","Canada","CA","Old Ottawa South, Ottawa, Canada"
"neighborhoods/ca-quebec/petit-champlain","Petit Champlain","Québec","","Canada","CA","Petit Champlain, Québec, Canada"
"neighborhoods/ca-red-deer/city-centre","City Centre","Red Deer","","Canada","CA","City Centre, Red Deer, Canada"
"neighborhoods/ca-regina/city-centre","City Centre","Regina","","Canada","CA","City Centre, Regina, Canada"
"neighborhoods/ca-saguenay/city-centre","City Centre","Saguenay","","Canada","CA","City Centre, Saguenay, Canada"
"neighborhoods/ca-saskatoon/broadway","Broadway","Saskatoon","","Canada","CA","Broadway, Saskatoon, Canada"
"neighborhoods/ca-saskatoon/nutana","Nutana","Saskatoon","","Canada","CA","Nutana, Saskatoon, Canada"
"neighborhoods/ca-saskatoon/riversdale","Riversdale","Saskatoon","","Canada","CA","Riversdale, Saskatoon, Canada"
"neighborhoods/ca-sherbrooke/city-centre","City Centre","Sherbrooke","","Canada","CA","City Centre, Sherbrooke, Canada"
"neighborhoods/ca-st-catharines/city-centre","City Centre","St. Catharines","","Canada","CA","City Centre, St. Catharines, Canada"
"neighborhoods/ca-surrey/surrey-city-centre","Surrey City Centre","Surrey","","Canada","CA","Surrey City Centre, Surrey, Canada"
"neighborhoods/ca-sydney/city-centre","City Centre","Sydney","","Canada","CA","City Centre, Sydney, Canada"
"neighborhoods/ca-thunder-bay/city-centre","City Centre","Thunder Bay","","Canada","CA","City Centre, Thunder Bay, Canada"
"neighborhoods/ca-toronto/distillery-district","Distillery District","Toronto","","Canada","CA","Distillery District, Toronto, Canada"
"neighborhoods/ca-toronto/downtown-core","Downtown Core","Toronto","","Canada","CA","Downtown Core, Toronto, Canada"
"neighborhoods/ca-toronto/yonge-and-eglinton","Yonge and Eglinton","Toronto","","Canada","CA","Yonge and Eglinton, Toronto, Canada"
"neighborhoods/ca-trois-rivieres/city-centre","City Centre","Trois-Rivières","","Canada","CA","City Centre, Trois-Rivières, Canada"
"neighborhoods/ca-vaughan/vaughan-metropolitan-centre","Vaughan Metropolitan Centre","Vaughan","","Canada","CA","Vaughan Metropolitan Centre, Vaughan, Canada"
"neighborhoods/ca-whitby/city-centre","City Centre","Whitby","","Canada","CA","City Centre, Whitby, Canada"
"neighborhoods/ca-winnipeg/osborne-village","Osborne Village","Winnipeg","","Canada","CA","Osborne Village, Winnipeg, Canada"
"neighborhoods/ca-winnipeg/st-boniface","St. Boniface","Winnipeg","","Canada","CA","St. Boniface, Winnipeg, Canada"
"neighborhoods/ca-winnipeg/the-forks","The Forks","Winnipeg","","Canada","CA","The Forks, Winnipeg, Canada"
"neighborhoods/ca-winnipeg/wolseley","Wolseley","Winnipeg","","Canada","CA","Wolseley, Winnipeg, Canada"
"neighborhoods/cd-bakwa/city-centre","City Centre","Bakwa","","Democratic Republic of the Congo","CD","City Centre, Bakwa, Democratic Republic of the Congo"
"neighborhoods/cd-bandundu-province/city-centre","City Centre","Bandundu Province","","Democratic Republic of the Congo","CD","City Centre, Bandundu Province, Democratic Republic of the Congo"
"neighborhoods/cd-beni/city-centre","City Centre","Beni","","Democratic Republic of the Congo","CD","City Centre, Beni, Democratic Republic of the Congo"
"neighborhoods/cd-boma/city-centre","City Centre","Boma","","Democratic Republic of the Congo","CD","City Centre, Boma, Democratic Republic of the Congo"
"neighborhoods/cd-bukama/city-centre","City Centre","Bukama","","Democratic Republic of the Congo","CD","City Centre, Bukama, Democratic Republic of the Congo"
"neighborhoods/cd-bukavu/ibanda","Ibanda","Bukavu","","Democratic Republic of the Congo","CD","Ibanda, Bukavu, Democratic Republic of the Congo"
"neighborhoods/cd-bumba/city-centre","City Centre","Bumba","","Democratic Republic of the Congo","CD","City Centre, Bumba, Democratic Republic of the Congo"
"neighborhoods/cd-bunia/city-centre","City Centre","Bunia","","Democratic Republic of the Congo","CD","City Centre, Bunia, Democratic Republic of the Congo"
"neighborhoods/cd-butembo/central","Central","Butembo","","Democratic Republic of the Congo","CD","Central, Butembo, Democratic Republic of the Congo"
"neighborhoods/cd-gandajika/city-centre","City Centre","Gandajika","","Democratic Republic of the Congo","CD","City Centre, Gandajika, Democratic Republic of the Congo"
"neighborhoods/cd-gemena/city-centre","City Centre","Gemena","","Democratic Republic of the Congo","CD","City Centre, Gemena, Democratic Republic of the Congo"
"neighborhoods/cd-goma/city-center","City Center","Goma","","Democratic Republic of the Congo","CD","City Center, Goma, Democratic Republic of the Congo"
"neighborhoods/cd-ilebo/city-centre","City Centre","Ilebo","","Democratic Republic of the Congo","CD","City Centre, Ilebo, Democratic Republic of the Congo"
"neighborhoods/cd-inkisi/city-centre","City Centre","Inkisi","","Democratic Republic of the Congo","CD","City Centre, Inkisi, Democratic Republic of the Congo"
"neighborhoods/cd-isiro/centre-ville","Centre-ville","Isiro","","Democratic Republic of the Congo","CD","Centre-ville, Isiro, Democratic Republic of the Congo"
"neighborhoods/cd-kabinda/city-centre","City Centre","Kabinda","","Democratic Republic of the Congo","CD","City Centre, Kabinda, Democratic Republic of the Congo"
"neighborhoods/cd-kalemie/city-centre","City Centre","Kalemie","","Democratic Republic of the Congo","CD","City Centre, Kalemie, Democratic Republic of the Congo"
"neighborhoods/cd-kamina/city-centre","City Centre","Kamina","","Democratic Republic of the Congo","CD","City Centre, Kamina, Democratic Republic of the Congo"
"neighborhoods/cd-kananga/city-centre","City Centre","Kananga","","Democratic Republic of the Congo","CD","City Centre, Kananga, Democratic Republic of the Congo"
"neighborhoods/cd-kikwit/centre-ville","Centre-Ville","Kikwit","","Democratic Republic of the Congo","CD","Centre-Ville, Kikwit, Democratic Republic of the Congo"
"neighborhoods/cd-kindu/city-centre","City Centre","Kindu","","Democratic Republic of the Congo","CD","City Centre, Kindu, Democratic Republic of the Congo"
"neighborhoods/cd-kipushi/city-centre","City Centre","Kipushi","","Democratic Republic of the Congo","CD","City Centre, Kipushi, Democratic Republic of the Congo"
"neighborhoods/cd-kisangani/city-center","City Center","Kisangani","","Democratic Republic of the Congo","CD","City Center, Kisangani, Democratic Republic of the Congo"
"neighborhoods/cd-kolwezi/centre-ville","Centre-ville","Kolwezi","","Democratic Republic of the Congo","CD","Centre-ville, Kolwezi, Democratic Republic of the Congo"
"neighborhoods/cd-likasi/centre","Centre","Likasi","","Democratic Republic of the Congo","CD","Centre, Likasi, Democratic Republic of the Congo"
"neighborhoods/cd-lisala/city-centre","City Centre","Lisala","","Democratic Republic of the Congo","CD","City Centre, Lisala, Democratic Republic of the Congo"
"neighborhoods/cd-lubumbashi/centre-ville","Centre-ville","Lubumbashi","","Democratic Republic of the Congo","CD","Centre-ville, Lubumbashi, Democratic Republic of the Congo"
"neighborhoods/cd-matadi/city-centre","City Centre","Matadi","","Democratic Republic of the Congo","CD","City Centre, Matadi, Democratic Republic of the Congo"
"neighborhoods/cd-mbandaka/city-center","City Center","Mbandaka","","Democratic Republic of the Congo","CD","City Center, Mbandaka, Democratic Republic of the Congo"
"neighborhoods/cd-mbanza-ngungu/city-centre","City Centre","Mbanza-Ngungu","","Democratic Republic of the Congo","CD","City Centre, Mbanza-Ngungu, Democratic Republic of the Congo"
"neighborhoods/cd-mbuji-mayi/centre-ville","Centre-ville","Mbuji-Mayi","","Democratic Republic of the Congo","CD","Centre-ville, Mbuji-Mayi, Democratic Republic of the Congo"
"neighborhoods/cd-moanda/city-centre","City Centre","Moanda","","Democratic Republic of the Congo","CD","City Centre, Moanda, Democratic Republic of the Congo"
"neighborhoods/cd-mwene/town-centre","Town Centre","Mwene","","Democratic Republic of the Congo","CD","Town Centre, Mwene, Democratic Republic of the Congo"
"neighborhoods/cd-tshikapa/centre","Centre","Tshikapa","","Democratic Republic of the Congo","CD","Centre, Tshikapa, Democratic Republic of the Congo"
"neighborhoods/cd-tshilenge/city-centre","City Centre","Tshilenge","","Democratic Republic of the Congo","CD","City Centre, Tshilenge, Democratic Republic of the Congo"
"neighborhoods/cd-uvira/city-centre","City Centre","Uvira","","Democratic Republic of the Congo","CD","City Centre, Uvira, Democratic Republic of the Congo"
"neighborhoods/cf-bangui/centre-ville","Centre-ville","Bangui","","Central African Republic","CF","Centre-ville, Bangui, Central African Republic"
"neighborhoods/cf-begoua/town-center","Town Center","Bégoua","","Central African Republic","CF","Town Center, Bégoua, Central African Republic"
"neighborhoods/cf-berberati/city-centre","City Centre","Berbérati","","Central African Republic","CF","City Centre, Berbérati, Central African Republic"
"neighborhoods/cf-bimbo/town-center","Town Center","Bimbo","","Central African Republic","CF","Town Center, Bimbo, Central African Republic"
"neighborhoods/cf-carnot/city-centre","City Centre","Carnot","","Central African Republic","CF","City Centre, Carnot, Central African Republic"
"neighborhoods/cg-brazzaville/centre-ville","Centre-ville","Brazzaville","","Republic of the Congo","CG","Centre-ville, Brazzaville, Republic of the Congo"
"neighborhoods/cg-dolisie/city-centre","City Centre","Dolisie","","Republic of the Congo","CG","City Centre, Dolisie, Republic of the Congo"
"neighborhoods/cg-nkayi/city-centre","City Centre","Nkayi","","Republic of the Congo","CG","City Centre, Nkayi, Republic of the Congo"
"neighborhoods/cg-pointe-noire/centre-ville","Centre-Ville","Pointe-Noire","","Republic of the Congo","CG","Centre-Ville, Pointe-Noire, Republic of the Congo"
"neighborhoods/ch-basel/grossbasel-altstadt","Grossbasel Altstadt","Basel","","Switzerland","CH","Grossbasel Altstadt, Basel, Switzerland"
"neighborhoods/ch-bern/altstadt","Altstadt","Bern","","Switzerland","CH","Altstadt, Bern, Switzerland"
"neighborhoods/ch-geneva/vieille-ville","Vieille Ville","Geneva","","Switzerland","CH","Vieille Ville, Geneva, Switzerland"
"neighborhoods/ch-lausanne/cite","Cité","Lausanne","","Switzerland","CH","Cité, Lausanne, Switzerland"
"neighborhoods/ch-lausanne/le-flon","Le Flon","Lausanne","","Switzerland","CH","Le Flon, Lausanne, Switzerland"
"neighborhoods/ch-winterthur/city-centre","City Centre","Winterthur","","Switzerland","CH","City Centre, Winterthur, Switzerland"
"neighborhoods/ch-zurich/altstadt","Altstadt","Zürich","","Switzerland","CH","Altstadt, Zürich, Switzerland"
"neighborhoods/ci-abengourou/city-centre","City Centre","Abengourou","","Ivory Coast","CI","City Centre, Abengourou, Ivory Coast"
"neighborhoods/ci-abidjan/marcory-zone-4","Marcory Zone 4","Abidjan","","Ivory Coast","CI","Marcory Zone 4, Abidjan, Ivory Coast"
"neighborhoods/ci-abobo/abobo-centre","Abobo Centre","Abobo","","Ivory Coast","CI","Abobo Centre, Abobo, Ivory Coast"
"neighborhoods/ci-bondoukou/city-centre","City Centre","Bondoukou","","Ivory Coast","CI","City Centre, Bondoukou, Ivory Coast"
"neighborhoods/ci-bonon/city-centre","City Centre","Bonon","","Ivory Coast","CI","City Centre, Bonon, Ivory Coast"
"neighborhoods/ci-bouafle/city-centre","City Centre","Bouaflé","","Ivory Coast","CI","City Centre, Bouaflé, Ivory Coast"
"neighborhoods/ci-bouake/commerce-city-center","Commerce (City Center)","Bouaké","","Ivory Coast","CI","Commerce (City Center), Bouaké, Ivory Coast"
"neighborhoods/ci-dabou/city-centre","City Centre","Dabou","","Ivory Coast","CI","City Centre, Dabou, Ivory Coast"
"neighborhoods/ci-daloa/city-centre","City Centre","Daloa","","Ivory Coast","CI","City Centre, Daloa, Ivory Coast"
"neighborhoods/ci-daoukro/city-centre","City Centre","Daoukro","","Ivory Coast","CI","City Centre, Daoukro, Ivory Coast"
"neighborhoods/ci-divo/city-centre","City Centre","Divo","","Ivory Coast","CI","City Centre, Divo, Ivory Coast"
"neighborhoods/ci-duekoue/city-centre","City Centre","Duekoué","","Ivory Coast","CI","City Centre, Duekoué, Ivory Coast"
"neighborhoods/ci-gagnoa/centre-ville","Centre-Ville","Gagnoa","","Ivory Coast","CI","Centre-Ville, Gagnoa, Ivory Coast"
"neighborhoods/ci-korhogo/city-center","City Center","Korhogo","","Ivory Coast","CI","City Center, Korhogo, Ivory Coast"
"neighborhoods/ci-man/city-centre","City Centre","Man","","Ivory Coast","CI","City Centre, Man, Ivory Coast"
"neighborhoods/ci-san-pedro/city-centre","City Centre","San-Pédro","","Ivory Coast","CI","City Centre, San-Pédro, Ivory Coast"
"neighborhoods/ci-seguela/city-centre","City Centre","Séguéla","","Ivory Coast","CI","City Centre, Séguéla, Ivory Coast"
"neighborhoods/ci-sinfra/city-centre","City Centre","Sinfra","","Ivory Coast","CI","City Centre, Sinfra, Ivory Coast"
"neighborhoods/ci-soubre/city-centre","City Centre","Soubré","","Ivory Coast","CI","City Centre, Soubré, Ivory Coast"
"neighborhoods/ci-yamoussoukro/city-centre","City Centre","Yamoussoukro","","Ivory Coast","CI","City Centre, Yamoussoukro, Ivory Coast"
"neighborhoods/cl-alto-hospicio/city-centre","City Centre","Alto Hospicio","","Chile","CL","City Centre, Alto Hospicio, Chile"
"neighborhoods/cl-antofagasta/centro","Centro","Antofagasta","","Chile","CL","Centro, Antofagasta, Chile"
"neighborhoods/cl-antofagasta/costanera","Costanera","Antofagasta","","Chile","CL","Costanera, Antofagasta, Chile"
"neighborhoods/cl-arica/city-centre","City Centre","Arica","","Chile","CL","City Centre, Arica, Chile"
"neighborhoods/cl-calama/city-centre","City Centre","Calama","","Chile","CL","City Centre, Calama, Chile"
"neighborhoods/cl-chillan/city-centre","City Centre","Chillán","","Chile","CL","City Centre, Chillán, Chile"
"neighborhoods/cl-colina/city-centre","City Centre","Colina","","Chile","CL","City Centre, Colina, Chile"
"neighborhoods/cl-copiapo/city-centre","City Centre","Copiapó","","Chile","CL","City Centre, Copiapó, Chile"
"neighborhoods/cl-coquimbo/barrio-ingles","Barrio Inglés","Coquimbo","","Chile","CL","Barrio Inglés, Coquimbo, Chile"
"neighborhoods/cl-coronel/city-centre","City Centre","Coronel","","Chile","CL","City Centre, Coronel, Chile"
"neighborhoods/cl-curico/city-centre","City Centre","Curicó","","Chile","CL","City Centre, Curicó, Chile"
"neighborhoods/cl-iquique/city-centre","City Centre","Iquique","","Chile","CL","City Centre, Iquique, Chile"
"neighborhoods/cl-la-serena/centro-historico","Centro Histórico","La Serena","","Chile","CL","Centro Histórico, La Serena, Chile"
"neighborhoods/cl-lampa/city-centre","City Centre","Lampa","","Chile","CL","City Centre, Lampa, Chile"
"neighborhoods/cl-los-angeles/city-centre","City Centre","Los Ángeles","","Chile","CL","City Centre, Los Ángeles, Chile"
"neighborhoods/cl-osorno/city-centre","City Centre","Osorno","","Chile","CL","City Centre, Osorno, Chile"
"neighborhoods/cl-puente-alto/centro","Centro","Puente Alto","","Chile","CL","Centro, Puente Alto, Chile"
"neighborhoods/cl-puerto-montt/city-centre","City Centre","Puerto Montt","","Chile","CL","City Centre, Puerto Montt, Chile"
"neighborhoods/cl-punta-arenas/city-centre","City Centre","Punta Arenas","","Chile","CL","City Centre, Punta Arenas, Chile"
"neighborhoods/cl-rancagua/city-centre","City Centre","Rancagua","","Chile","CL","City Centre, Rancagua, Chile"
"neighborhoods/cl-talca/city-centre","City Centre","Talca","","Chile","CL","City Centre, Talca, Chile"
"neighborhoods/cl-talcahuano/centro","Centro","Talcahuano","","Chile","CL","Centro, Talcahuano, Chile"
"neighborhoods/cl-temuco/city-centre","City Centre","Temuco","","Chile","CL","City Centre, Temuco, Chile"
"neighborhoods/cl-valdivia/city-centre","City Centre","Valdivia","","Chile","CL","City Centre, Valdivia, Chile"
"neighborhoods/cl-valparaiso/barrio-puerto","Barrio Puerto","Valparaíso","","Chile","CL","Barrio Puerto, Valparaíso, Chile"
"neighborhoods/cl-valparaiso/el-plan","El Plan","Valparaíso","","Chile","CL","El Plan, Valparaíso, Chile"
"neighborhoods/cl-villa-mercedes/city-centre","City Centre","Villa Mercedes","","Chile","CL","City Centre, Villa Mercedes, Chile"
"neighborhoods/cm-bafoussam/town-center","Town Center","Bafoussam","","Cameroon","CM","Town Center, Bafoussam, Cameroon"
"neighborhoods/cm-bamenda/city-centre","City Centre","Bamenda","","Cameroon","CM","City Centre, Bamenda, Cameroon"
"neighborhoods/cm-bertoua/city-centre","City Centre","Bertoua","","Cameroon","CM","City Centre, Bertoua, Cameroon"
"neighborhoods/cm-buea/city-centre","City Centre","Buea","","Cameroon","CM","City Centre, Buea, Cameroon"
"neighborhoods/cm-douala/bonanjo","Bonanjo","Douala","","Cameroon","CM","Bonanjo, Douala, Cameroon"
"neighborhoods/cm-ebolowa/city-centre","City Centre","Ébolowa","","Cameroon","CM","City Centre, Ébolowa, Cameroon"
"neighborhoods/cm-edea/city-centre","City Centre","Edéa","","Cameroon","CM","City Centre, Edéa, Cameroon"
"neighborhoods/cm-foumban/city-centre","City Centre","Foumban","","Cameroon","CM","City Centre, Foumban, Cameroon"
"neighborhoods/cm-kousseri/city-centre","City Centre","Kousséri","","Cameroon","CM","City Centre, Kousséri, Cameroon"
"neighborhoods/cm-kumba/city-centre","City Centre","Kumba","","Cameroon","CM","City Centre, Kumba, Cameroon"
"neighborhoods/cm-kumbo/city-centre","City Centre","Kumbo","","Cameroon","CM","City Centre, Kumbo, Cameroon"
"neighborhoods/cm-limbe/city-centre","City Centre","Limbe","","Cameroon","CM","City Centre, Limbe, Cameroon"
"neighborhoods/cm-maroua/city-centre","City Centre","Maroua","","Cameroon","CM","City Centre, Maroua, Cameroon"
"neighborhoods/cm-ngaoundere/city-centre","City Centre","Ngaoundéré","","Cameroon","CM","City Centre, Ngaoundéré, Cameroon"
"neighborhoods/cm-nkongsamba/city-centre","City Centre","Nkongsamba","","Cameroon","CM","City Centre, Nkongsamba, Cameroon"
"neighborhoods/cm-yaounde/bastos","Bastos","Yaoundé","","Cameroon","CM","Bastos, Yaoundé, Cameroon"
"neighborhoods/cm-yaounde/bonanjo","Bonanjo","Yaoundé","","Cameroon","CM","Bonanjo, Yaoundé, Cameroon"
"neighborhoods/cn-acheng/city-centre","City Centre","Acheng","","China","CN","City Centre, Acheng, China"
"neighborhoods/cn-aihui/city-centre","City Centre","Aihui","","China","CN","City Centre, Aihui, China"
"neighborhoods/cn-ala-er/city-centre","City Centre","Ālā'ĕr","","China","CN","City Centre, Ālā'ĕr, China"
"neighborhoods/cn-anda/city-centre","City Centre","Anda","","China","CN","City Centre, Anda, China"
"neighborhoods/cn-ankang/city-center","City Center","Ankang","","China","CN","City Center, Ankang, China"
"neighborhoods/cn-anliu/city-centre","City Centre","Anliu","","China","CN","City Centre, Anliu, China"
"neighborhoods/cn-anning/city-centre","City Centre","Anning","","China","CN","City Centre, Anning, China"
"neighborhoods/cn-anqiu/city-center","City Center","Anqiu","","China","CN","City Center, Anqiu, China"
"neighborhoods/cn-aqsu/city-centre","City Centre","Aqsu","","China","CN","City Centre, Aqsu, China"
"neighborhoods/cn-artux/central","Central","Artux","","China","CN","Central, Artux, China"
"neighborhoods/cn-bachuan/city-centre","City Centre","Bachuan","","China","CN","City Centre, Bachuan, China"
